#OTU	10317.00004	10317.00004	10317.00004	10317.00004	10317.00004	10317.00004	10317.00001	10317.00004	10317.00004	10317.00004
Bacteroides	4170	2972	3638	996	7086	1311	3555	2765	40	2790
Faecalibacterium	1376	310	650	400	234	1767	641	1503	194	990
Prevotella	24	0	0	0	0	439	178	0	1019	0
Roseburia	249	63	1188	400	266	952	706	860	97	229
Parabacteroides	177	382	377	212	177	89	154	136	8	302
Alistipes	587	932	297	604	8	407	154	369	169	335
Blautia	136	127	40	122	129	260	357	64	16	81
Akkermansia	362	127	305	571	0	0	16	0	72	196
Ruminococcus	80	79	634	40	56	342	170	345	24	122
Oscillibacter	64	119	24	433	104	179	81	64	32	270
Clostridium_XlVa	72	31	128	179	169	122	64	128	64	49
Gemmiger	0	47	8	187	40	57	162	32	16	40
Dialister	362	7	642	0	710	0	8	0	137	0
Clostridium_IV	88	183	0	416	0	504	8	0	24	433
Lachnospiracea_incertae_sedis	64	31	72	81	24	24	73	32	0	81
Clostridium_XVIII	0	23	56	122	8	8	81	24	8	57
Coprococcus	8	191	40	32	0	423	422	48	8	73
Phascolarctobacterium	0	23	0	155	0	32	24	24	8	0
Anaerostipes	32	79	16	49	16	8	48	8	0	32
Acinetobacter	0	0	0	0	0	0	0	0	0	0
