#OTU ID	10317.000039541	10317.000039830	10317.000039681	10317.000036849	10317.000039551	10317.000036888	10317.000038146	10317.000039927E	10317.000015310	10317.000039904
Bacteroides	56	2972	5105	347	612	5736	2764	358	1908	2311
Faecalibacterium	40	310	316	606	217	716	349	1376	609	548
Prevotella	9173	0	0	3592	7338	0	764	1677	3285	0
Roseburia	48	63	397	566	32	0	650	757	126	15
Parabacteroides	32	382	722	56	96	450	73	65	530	101
Alistipes	0	932	413	40	96	0	97	138	261	1144
Blautia	8	127	243	64	72	643	178	252	261	125
Akkermansia	0	127	16	0	64	0	40	16	0	0
Ruminococcus	8	79	137	80	137	8	439	105	31	1630
Oscillibacter	24	119	219	266	56	8	24	105	47	70
Clostridium_XlVa	0	31	8	105	40	104	32	162	39	78
Gemmiger	8	47	73	32	88	0	32	431	15	0
Dialister	0	7	0	0	0	0	0	0	0	0
Clostridium_IV	8	183	32	8	104	8	48	57	39	86
Lachnospiracea_incertae_sedis	0	31	64	24	8	474	24	97	63	62
Clostridium_XVIII	0	23	0	0	0	24	97	24	134	31
Coprococcus	8	191	8	137	8	0	341	16	142	0
Phascolarctobacterium	56	23	40	105	64	0	300	0	0	109
Anaerostipes	0	79	8	24	8	48	8	57	174	7
Acinetobacter	0	0	0	0	0	0	0	0	0	0
