#OTU ID	10317.000036170	10317.000037963	10317.000039882	10317.000039519	10317.000039578	10317.000036746	10317.000038159	10317.000039818	10317.000015861	10317.000038155
Bacteroides	2491	2913	3419	5585	2410	2154	752	4120	3221	4031
Faecalibacterium	2612	1769	428	248	252	302	64	353	752	326
Prevotella	0	0	0	0	0	0	1116	8	0	31
Roseburia	443	113	299	313	1172	31	0	682	89	119
Parabacteroides	241	113	137	682	285	222	16	851	204	167
Alistipes	258	129	169	304	187	437	0	1188	850	868
Blautia	362	275	202	192	651	166	8	112	155	31
Akkermansia	250	73	1940	176	8	127	0	8	40	7
Ruminococcus	120	73	40	136	195	119	24	96	596	15
Oscillibacter	72	316	525	240	81	31	8	112	237	151
Clostridium_XlVa	161	129	105	184	16	7	16	24	8	7
Gemmiger	217	227	0	24	0	0	8	0	89	7
Dialister	0	0	0	24	0	0	283	0	0	0
Clostridium_IV	8	40	662	313	529	302	0	56	81	159
Lachnospiracea_incertae_sedis	88	48	32	48	32	23	0	8	16	31
Clostridium_XVIII	24	89	8	0	203	15	0	16	49	15
Coprococcus	56	24	16	80	0	7	0	0	0	15
Phascolarctobacterium	145	40	56	0	24	63	24	24	0	55
Anaerostipes	64	32	0	16	325	23	0	32	24	63
Acinetobacter	0	170	0	0	0	47	0	0	0	0
