#OTU ID	10317.000038240	10317.000037546	10317.000038304	10317.000039690	10317.000039673	10317.000039553	10317.000036170	10317.000039645	10317.000037543	10317.000039978
Bacteroides	2998	745	1605	4680	2909	1379	2491	6610	725	4309
Faecalibacterium	988	0	166	1093	409	2085	2612	394	815	582
Prevotella	0	0	119	0	0	0	0	0	32	0
Roseburia	563	0	174	421	707	1748	443	531	1443	391
Parabacteroides	8	0	222	404	1117	8	241	225	212	750
Alistipes	514	0	325	323	699	32	258	185	799	263
Blautia	81	104	389	137	112	312	362	241	415	167
Akkermansia	16	1676	7	0	8	0	250	88	0	702
Ruminococcus	187	0	135	137	112	1210	120	8	195	183
Oscillibacter	89	16	103	40	24	8	72	16	244	31
Clostridium_XlVa	285	280	0	259	160	16	161	257	309	183
Gemmiger	49	0	143	0	80	112	217	0	40	7
Dialister	784	0	0	0	0	0	0	0	0	7
Clostridium_IV	0	0	15	364	48	16	8	64	8	23
Lachnospiracea_incertae_sedis	16	0	39	24	24	24	88	88	89	47
Clostridium_XVIII	16	24	47	16	40	80	24	8	24	31
Coprococcus	89	8	15	8	88	24	56	16	24	0
Phascolarctobacterium	0	296	7	56	8	0	145	48	40	526
Anaerostipes	8	24	87	48	64	240	64	72	57	31
Acinetobacter	0	0	0	0	0	0	0	0	0	0
